system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00050] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  D   display_settings.c:486  _al_score_display_settings       [   0.03936] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03937] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03938] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03940] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03941] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03942] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03943] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03945] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03946] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03947] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03949] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03950] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03951] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03952] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03956] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03957] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03958] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03960] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03961] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03962] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03964] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03965] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03966] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03967] Score is : 598
display  D   display_settings.c:357  _al_score_display_settings       [   0.03969] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03971] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03972] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03973] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03975] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03976] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03977] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03978] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03979] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03980] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03982] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03983] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03984] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03986] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03987] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03989] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03990] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03991] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03992] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03993] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03994] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03996] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03997] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03998] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03999] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04000] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04002] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.04003] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.04004] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.04005] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.04006] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.04011] Trying format 0 of 188.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.04053] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.04056] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.04891] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.11024] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.11027] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.11034] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.11042] Format 0 succeeded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.11217] added dtor for object 005B2F78, func 68562711
dtor     D               dtor.c:184  _al_register_destructor          [   0.11221] added dtor for object 005B3048, func 68562711
dtor     D               dtor.c:184  _al_register_destructor          [   0.11223] added dtor for object 010C99C0, func 68561951
dtor     D               dtor.c:184  _al_register_destructor          [   0.11279] added dtor for object 005B34C8, func 68561951
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11380] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11382] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11383] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11385] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11386] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11387] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11388] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11389] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11391] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.11392] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.11393] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.11395] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.11397] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11411] added dtor for object 005B7968, func 685627D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.11565] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.11568] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11594] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11596] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11597] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11599] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11600] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11602] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11603] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11604] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11605] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.11607] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.11608] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.11609] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.11611] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11624] added dtor for object 005B80D8, func 685627D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.11781] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.11784] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11806] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11807] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11808] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11810] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11811] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11812] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11813] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11814] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.11815] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.11817] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.11818] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.11819] Found a format
