system   D            wsystem.c:583  maybe_parent_dir                 [   0.02816] Also searching E:\Code\C++\allegris\
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18496] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18499] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18502] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18505] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18507] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   1.18510] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   1.18514] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   1.18518] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   1.18524] Chose bitmap format 9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   1.19248] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   1.19258] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   1.25849] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   1.25859] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   1.26794] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   1.26808] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:184  _al_register_destructor          [   2.69982] added dtor for object 0103A350, func 55891951
dtor     D               dtor.c:184  _al_register_destructor          [   2.70289] added dtor for object 0107BB70, func 55892711
dtor     D               dtor.c:184  _al_register_destructor          [   2.70299] added dtor for object 0107BDE8, func 55892711
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.70310] removed dtor for object 01036F20
dtor     D               dtor.c:184  _al_register_destructor          [   6.33056] added dtor for object 01036EC8, func 55891951
dtor     D               dtor.c:214  _al_unregister_destructor        [   6.33138] removed dtor for object 0107BB70
dtor     D               dtor.c:214  _al_unregister_destructor        [   6.33144] removed dtor for object 0103A350
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   6.33454] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   6.33468] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   6.33905] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   6.33914] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   6.34324] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   6.34338] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02491] removed dtor for object 0030C320
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02506] removed dtor for object 0030D2A0
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02511] removed dtor for object 0030E228
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02517] removed dtor for object 0030F1C0
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02522] removed dtor for object 0030F2A8
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02528] removed dtor for object 0030F390
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02533] removed dtor for object 0030F478
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02538] removed dtor for object 0030F560
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02552] removed dtor for object 0102AD98
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [   9.02691] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.02913] removed dtor for object 0102DD38
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.03027] removed dtor for object 010364B0
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.03038] removed dtor for object 010365E8
d3d      W         d3d_disp.cpp:798  d3d_destroy_device               [   9.04826] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1705 d3d_display_thread_proc          [   9.09974] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.10096] removed dtor for object 01036720
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.10115] removed dtor for object 01036CF0
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.10127] removed dtor for object 01036EC8
dtor     D               dtor.c:114  _al_run_destructors              [   9.10176] calling dtor for object 0107BDE8, func 55892711
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.10556] removed dtor for object 0107BDE8
